Date,market_dominance
2013-04-29,94.8
2013-04-30,94.28
2013-05-01,94.22
2013-05-02,94.09
2013-05-03,94.03
2013-05-04,93.92
2013-05-05,93.94
2013-05-06,94.42
2013-05-07,94.35
2013-05-08,94.19
2013-05-09,94.25
2013-05-10,94.83
2013-05-11,94.54
2013-05-12,94.7
2013-05-13,94.84
2013-05-14,94.92
2013-05-15,95.15
2013-05-16,95.27
2013-05-17,95.2
2013-05-18,95.05
2013-05-19,94.96
2013-05-20,95.07
2013-05-21,95.19
2013-05-22,95.16
2013-05-23,95.2
2013-05-24,95.41
2013-05-25,95.48
2013-05-26,95.4
2013-05-27,95.4
2013-05-28,95.46
2013-05-29,99.14
2013-05-30,95.48
2013-05-31,95.68
2013-06-01,95.77
2013-06-02,95.61
2013-06-03,95.81
2013-06-05,95.46
2013-06-06,95.68
2013-06-07,95.7
2013-06-08,95.65
2013-06-09,95.65
2013-06-10,95.59
2013-06-11,95.61
2013-06-12,95.85
2013-06-13,95.92
2013-06-14,95.85
2013-06-15,95.98
2013-06-16,96.1
2013-06-17,96.01
2013-06-18,95.82
2013-06-19,95.98
2013-06-20,95.93
2013-06-21,95.99
2013-06-22,95.24
2013-06-23,94.8
2013-06-24,94.92
2013-06-25,94.85
2013-06-26,95.07
2013-06-27,94.88
2013-06-28,94.59
2013-06-29,94.45
2013-06-30,94.62
2013-07-01,94.33
2013-07-02,93.98
2013-07-03,94.29
2013-07-04,94.26
2013-07-05,93.73
2013-07-06,93.32
2013-07-07,93.45
2013-07-08,93.64
2013-07-09,93.67
2013-07-10,93.75
2013-07-11,93.93
2013-07-12,94.29
2013-07-13,94.19
2013-07-14,94.41
2013-07-15,94.2
2013-07-16,94.22
2013-07-17,94.03
2013-07-18,94.01
2013-07-19,93.84
2013-07-20,93.82
2013-07-21,93.82
2013-07-22,93.84
2013-07-23,94.13
2013-07-24,94.07
2013-07-25,93.92
2013-07-26,94.1
2013-07-27,93.99
2013-07-28,94.14
2013-07-29,94.09
2013-07-30,94.21
2013-07-31,94.61
2013-08-01,94.47
2013-08-02,94.24
2013-08-03,94.31
2013-08-04,90.93
2013-08-05,91.33
2013-08-06,91.83
2013-08-07,92.1
2013-08-08,91.9
2013-08-09,92.05
2013-08-10,92.09
2013-08-11,92.31
2013-08-12,92.48
2013-08-13,92.26
2013-08-14,92.67
2013-08-15,93.21
2013-08-16,93.53
2013-08-17,91.98
2013-08-18,91.6
2013-08-19,92.16
2013-08-20,92.16
2013-08-21,92.06
2013-08-22,92.48
2013-08-23,92.56
2013-08-24,92.43
2013-08-25,92.33
2013-08-26,92.25
2013-08-27,92.55
2013-08-28,92.41
2013-08-29,92.7
2013-08-30,92.89
2013-08-31,93.25
2013-09-01,93.37
2013-09-02,93.39
2013-09-03,93.5
2013-09-04,93.23
2013-09-05,92.72
2013-09-06,92.83
2013-09-07,92.34
2013-09-08,92.27
2013-09-09,92.57
2013-09-10,92.79
2013-09-11,92.84
2013-09-12,92.77
2013-09-13,92.8
2013-09-14,92.77
2013-09-15,92.6
2013-09-16,92.43
2013-09-17,91.36
2013-09-18,90.95
2013-09-19,90.72
2013-09-20,91.01
2013-09-21,91.13
2013-09-22,90.92
2013-09-23,91.06
2013-09-24,90.92
2013-09-25,90.93
2013-09-26,90.53
2013-09-27,95.79
2013-09-28,89.85
2013-09-29,90.27
2013-09-30,91.15
2013-10-01,90.62
2013-10-02,91.62
2013-10-03,92.04
2013-10-04,91.5
2013-10-05,91.57
2013-10-06,90.98
2013-10-07,91.54
2013-10-08,91.37
2013-10-09,91.87
2013-10-10,91.47
2013-10-11,91.85
2013-10-12,92.11
2013-10-13,92.1
2013-10-14,92.51
2013-10-15,93.05
2013-10-16,93.51
2013-10-17,93.5
2013-10-18,93.67
2013-10-19,94.48
2013-10-20,94.5
2013-10-21,95.1
2013-10-22,95.51
2013-10-23,95.47
2013-10-24,94.57
2013-10-25,93.99
2013-10-26,94.82
2013-10-27,94.92
2013-10-28,95.29
2013-10-29,95.47
2013-10-30,95.48
2013-10-31,95.4
2013-11-01,95.29
2013-11-02,95.11
2013-11-03,94.61
2013-11-04,94.79
2013-11-05,94.96
2013-11-06,95.25
2013-11-07,94.74
2013-11-08,94.86
2013-11-09,95.62
2013-11-10,97.02
2013-11-11,95.67
2013-11-12,95.7
2013-11-13,95.87
2013-11-14,95.96
2013-11-15,96.12
2013-11-16,96.15
2013-11-17,96.49
2013-11-18,96.57
2013-11-19,96.24
2013-11-20,96.33
2013-11-21,96.86
2013-11-22,96.05
2013-11-23,96.22
2013-11-24,96.48
2013-11-25,95.38
2013-11-26,93.61
2013-11-27,91.61
2013-11-28,89.27
2013-11-29,90.4
2013-11-30,89.32
2013-12-01,88.76
2013-12-02,87.98
2013-12-03,89.17
2013-12-04,88.13
2013-12-05,87.44
2013-12-06,89.42
2013-12-07,89.93
2013-12-08,89.05
2013-12-09,88.62
2013-12-10,87.83
2013-12-11,88.6
2013-12-12,88.59
2013-12-13,88.75
2013-12-14,89.05
2013-12-15,88.89
2013-12-16,89.63
2013-12-17,89.89
2013-12-18,90.87
2013-12-19,90.95
2013-12-20,90.59
2013-12-21,89.92
2013-12-22,90.47
2013-12-23,90.52
2013-12-24,89.63
2013-12-25,88.76
2013-12-26,88.3
2013-12-27,87.88
2013-12-28,89.7
2013-12-29,87.79
2013-12-30,87.71
2013-12-31,88.14
2014-01-01,88.01
2014-01-02,87.41
2014-01-03,88.01
2014-01-04,88.56
2014-01-05,89.06
2014-01-06,88.39
2014-01-07,88.31
2014-01-08,89.29
2014-01-09,89.49
2014-01-10,89.73
2014-01-11,89.41
2014-01-12,89.33
2014-01-13,89.61
2014-01-14,89.79
2014-01-15,89.53
2014-01-16,89.36
2014-01-17,89.57
2014-01-18,89.57
2014-01-19,89.24
2014-01-20,89.07
2014-01-21,89.8
2014-01-22,89.06
2014-01-23,89.37
2014-01-24,89.72
2014-01-25,89.23
2014-01-26,89.31
2014-01-27,89.9
2014-01-28,89.1
2014-01-29,89.42
2014-01-30,89.68
2014-01-31,89.46
2014-02-01,89.19
2014-02-02,89.29
2014-02-03,89.33
2014-02-04,89.6
2014-02-05,89.83
2014-02-06,90.02
2014-02-07,89.51
2014-02-08,89.49
2014-02-09,89.17
2014-02-10,89.85
2014-02-11,89.32
2014-02-12,88.99
2014-02-13,89.28
2014-02-14,88.94
2014-02-15,88.99
2014-02-16,88.79
2014-02-17,89.23
2014-02-18,89.12
2014-02-19,88.87
2014-02-20,89.06
2014-02-21,89.52
2014-02-22,89.15
2014-02-23,89.05
2014-02-24,88.81
2014-02-25,88.55
2014-02-26,89.07
2014-02-27,89.09
2014-02-28,87.94
2014-03-01,86.95
2014-03-02,87.42
2014-03-03,85.8
2014-03-04,81.16
2014-03-05,85.64
2014-03-06,87.82
2014-03-07,87.47
2014-03-08,87.7
2014-03-09,87.51
2014-03-10,86.75
2014-03-11,86.97
2014-03-12,86.97
2014-03-13,87.18
2014-03-14,87.56
2014-03-15,87.79
2014-03-16,88.25
2014-03-17,88.96
2014-03-18,88.21
2014-03-19,88.05
2014-03-20,88.28
2014-03-21,88.28
2014-03-22,88.02
2014-03-23,88.31
2014-03-24,88.33
2014-03-25,88.56
2014-03-26,89.28
2014-03-27,89.74
2014-03-28,89.56
2014-03-29,78.68
2014-03-30,82.6
2014-03-31,81.3
2014-04-01,81.92
2014-04-02,82.21
2014-04-03,83.16
